longitude,latitude
-120.450064,34.034194
-120.454134,34.028081
-120.443168,34.028843
-120.435579,34.029371
-120.427408,34.025425
-120.419021,34.028949
-120.415225,34.032245
-120.409368,34.032198
-120.39163,34.025988
-120.383138,34.024474
-120.375143,34.018775
-120.36665,34.015842
-120.35793,34.015029
-120.353804,34.019026
-120.347706,34.020114
-120.340834,34.019598
-120.335027,34.020799
-120.317052,34.018837
-120.311184,34.019932
-120.307219,34.022375
-120.307361,34.029566
-120.313175,34.036576
-120.319032,34.041979
-120.331161,34.049097
-120.346946,34.046576
-120.352853,34.047193
-120.358608,34.050235
-120.360459,34.053101
-120.36029,34.05582
-120.354982,34.059256
-120.362251,34.073056
-120.368278,34.076465
-120.370176,34.074907
-120.367114,34.070822
-120.368813,34.06778
-120.374211,34.062658
-120.390906,34.051994
-120.396188,34.050187
-120.403613,34.050442
-120.411314,34.052869
-120.415287,34.05496
-120.418768,34.052093
-120.428997,34.047556
-120.440248,34.036918
-120.445548,34.037345
-120.449114,34.037345
-120.450064,34.034194
