longitude,latitude
-118.6105,33.032941
-118.610262,33.015803
-118.606982,33.015126
-118.601468,33.017039
-118.597475,33.013212
-118.593435,33.012386
-118.590249,33.005559
-118.584735,32.98993
-118.581883,32.987698
-118.582263,32.982594
-118.580362,32.974299
-118.574087,32.964887
-118.56439,32.958506
-118.561347,32.951805
-118.556404,32.947018
-118.555453,32.934252
-118.55146,32.930582
-118.549559,32.924198
-118.55203,32.91925
-118.546835,32.918408
-118.545565,32.9151
-118.547087,32.911907
-118.542143,32.906799
-118.535823,32.90628
-118.530544,32.894985
-118.52503,32.886523
-118.51229,32.879178
-118.513811,32.873269
-118.513051,32.868957
-118.507537,32.863527
-118.505065,32.857138
-118.506206,32.852985
-118.499922,32.851777
-118.495938,32.84979
-118.495368,32.846116
-118.489853,32.84372
-118.477684,32.840365
-118.475402,32.835093
-118.467987,32.832217
-118.462016,32.82814
-118.454677,32.821033
-118.452585,32.820553
-118.450931,32.822112
-118.444029,32.816718
-118.439396,32.815671
-118.436233,32.811445
-118.434141,32.805372
-118.431809,32.801462
-118.427249,32.80669
-118.422733,32.809287
-118.41584,32.810886
-118.40871,32.813083
-118.406095,32.821073
-118.400866,32.823869
-118.391834,32.826266
-118.383031,32.824948
-118.377811,32.822471
-118.367591,32.820873
-118.360936,32.817078
-118.354185,32.820919
-118.373533,32.839047
-118.386605,32.848233
-118.397328,32.857447
-118.406808,32.864206
-118.423446,32.875784
-118.456958,32.900932
-118.463614,32.909712
-118.470893,32.915948
-118.483579,32.921484
-118.488332,32.923679
-118.499503,32.933654
-118.51828,32.954198
-118.519196,32.95856
-118.52446,32.964369
-118.534204,32.971946
-118.536247,32.977404
-118.542999,32.98072
-118.549891,32.989492
-118.550842,32.996668
-118.552743,33.002848
-118.558448,33.006834
-118.562726,33.006834
-118.565578,33.014807
-118.56843,33.020188
-118.56843,33.02497
-118.573897,33.03055
-118.57988,33.034459
-118.586732,33.031746
-118.593862,33.03055
-118.595763,33.034336
-118.598853,33.036329
-118.6105,33.032941
